NA + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
103.0999985,105.0640564
103.3000031,106.305687
103.5,106.5486679
103.7000046,107.0199051
103.9000015,107.1929092
104.0999985,107.5589523
104.3000031,106.984993
104.5,107.7730942
104.7000046,108.3065796
104.9000015,107.9799271
105.0999985,107.4747009
105.3000031,106.4905548
105.5,107.4872818
105.7000046,107.2632751
105.9000015,109.1277237
106.0999985,108.2836456
106.3000031,108.1412354
106.5,108.6765976
106.7000046,107.3221359
106.9000015,107.8691864
107.0999985,108.2804565
107.3000031,108.1089325
107.5,106.9026794
107.7000046,108.0431671
107.9000015,108.0003281
108.0999985,108.9965515
108.3000031,109.167099
108.5,106.9411469
108.7000046,108.0838928
108.9000015,109.3224945
109.0999985,110.3108063
109.3000031,107.6417923
109.5,108.677803
109.7000046,108.1893768
109.9000015,109.9072495
110.0999985,107.228363
110.3000031,108.1120071
110.5,108.5188293
110.7000046,108.0339432
110.9000015,108.592659
111.0999985,107.0353546
111.3000031,107.9120941
111.5,108.6007996
111.7000046,107.9046936
111.9000015,108.3506546
112.0999985,106.6176071
112.3000031,108.0124283
112.5,107.5985718
112.7000046,108.1512604
112.9000015,107.7830505
113.0999985,108.146225
113.3000031,107.9261932
113.5,108.5652847
113.7000046,107.0140381
113.9000015,108.8136902
114.0999985,108.862381
114.3000031,108.78965
114.5,107.3718872
114.7000046,107.4325714
114.9000015,107.3828278
115.0999985,107.6791153
115.3000031,106.3169098
115.5,108.1423645
115.7000046,108.3863831
115.9000015,109.1969757
116.0999985,108.2585526
116.3000031,108.9052582
116.5,107.1633606
116.7000046,109.2863541
116.9000015,107.7006607
117.0999985,108.4614334
117.3000031,108.6498795
117.5,108.1274796
117.7000046,108.3269958
117.9000015,107.3064499
118.0999985,108.5075073
118.3000031,107.1624146
118.5,107.6382675
118.7000046,107.2791748
118.9000015,107.5497513
119.0999985,108.2543259
119.3000031,106.4392929
119.5,107.0460281
119.7000046,107.3589935
119.9000015,108.1326828
120.0999985,105.25811
120.3000031,106.7062073
120.5,106.6447372
120.7000046,106.4171295
120.9000015,107.6407089
121.0999985,108.1762695
121.3000031,107.4871521
121.5,106.3374329
121.7000046,107.0836182
121.9000015,107.9555969
122.0999985,106.3775253
122.3000031,106.8040924
122.5,106.2934647
122.7000046,108.5632019
122.9000015,107.0926895
123.0999985,106.8001633
123.3000031,107.671524
123.5,105.6327438
123.7000046,106.5587311
123.9000015,106.224411
124.0999985,106.3992462
124.3000031,106.2064133
124.5,106.0896378
124.7000046,106.1182861
124.9000015,105.9720993
125.0999985,106.3162308
125.3000031,105.3813553
125.5,105.4483414
125.7000046,106.360939
125.9000015,106.0784988
126.0999985,105.7353668
126.3000031,106.4800034
126.5,106.7938385
126.7000046,107.1809387
126.9000015,105.7144623
127.0999985,105.8694458
127.3000031,105.6617203
127.5,106.5394287
127.7000046,106.5725021
127.9000015,106.6291504
128.1000061,107.5225754
128.3000031,105.6595612
128.5,105.7150269
128.6999969,106.6275101
128.9000092,105.9349289
129.1000061,105.8388748
129.3000031,104.8861313
129.5,105.8142853
129.6999969,106.4668961
129.9000092,105.3809128
130.1000061,107.6360397
130.3000031,106.333313
130.5,106.477623
130.6999969,105.6703873
130.9000092,105.8152771
131.1000061,106.7790298
131.3000031,106.0298462
131.5,105.9798965
131.6999969,106.4214706
131.9000092,106.2597885
132.1000061,105.4216537
132.3000031,105.891983
132.5,107.1903076
132.6999969,106.6577301
132.9000092,106.8059464
133.1000061,106.0224457
133.3000031,106.4492416
133.5,107.0156555
133.6999969,107.8199158
133.9000092,106.8617325
134.1000061,106.1563797
134.3000031,106.6575623
134.5,106.8365097
134.6999969,106.8990326
134.9000092,105.6242905
135.1000061,106.7213821
135.3000031,106.3836212
135.5,106.9123688
135.6999969,105.3292236
135.9000092,106.9668884
136.1000061,105.3942108
136.3000031,105.7690277
136.5,105.9214478
136.6999969,106.0987778
136.9000092,106.524231
137.1000061,107.4210968
137.3000031,106.3627548
137.5,106.3850784
137.6999969,106.7085571
137.9000092,106.6178284
138.1000061,106.2272491
138.3000031,106.1444016
138.5,107.8874969
138.6999969,105.5649796
138.9000092,106.0122223
