OA + 50uM NB65 + TBS (5 min),
Time (s),Intensity (a.u.)
58.90000153,100.576889
59.10000229,100.8498917
59.29999924,101.6677551
59.5,100.6442566
59.70000076,101.4774933
59.90000153,100.5679474
60.10000229,102.0977554
60.29999924,100.9920883
60.5,102.1654816
60.70000076,101.2031403
60.90000153,102.6526642
61.10000229,102.3345947
61.29999924,103.3333282
61.5,102.1464157
61.70000076,101.3621521
61.90000153,101.6540298
62.10000229,102.3878555
62.29999924,102.5741882
62.5,101.8322678
62.70000076,102.5034332
62.90000153,102.1259995
63.10000229,102.7637177
63.29999924,102.6971207
63.5,101.923172
63.70000076,103.0797501
63.90000153,101.9184036
64.09999847,101.4078369
64.30000305,99.77322388
64.5,100.9895782
64.70000458,102.3286591
64.90000153,101.7418518
65.09999847,102.9225998
65.30000305,102.8444138
65.5,103.4159241
65.70000458,102.7484589
65.90000153,103.2781067
66.09999847,102.4213333
66.30000305,102.9930344
66.5,103.5663528
66.70000458,102.8146362
66.90000153,103.3972778
67.09999847,103.1607208
67.30000305,102.7687683
67.5,102.2756195
67.70000458,104.189888
67.90000153,103.1039734
68.09999847,103.3874435
68.30000305,104.466423
68.5,105.3710403
68.70000458,104.2350693
68.90000153,104.8905487
69.09999847,103.5741959
69.30000305,103.8340302
69.5,105.472496
69.70000458,104.8483124
69.90000153,105.0295563
70.09999847,104.6339951
70.30000305,104.2812729
70.5,103.2130432
70.70000458,104.5161209
70.90000153,105.0114822
71.09999847,104.6039276
71.30000305,104.8056793
71.5,104.946228
71.70000458,104.4136658
71.90000153,103.8468552
72.09999847,104.1239166
72.30000305,104.7398376
72.5,104.5710678
72.70000458,103.6962891
72.90000153,104.4134674
73.09999847,102.6959
73.30000305,105.1799545
73.5,103.503273
73.70000458,104.2653961
73.90000153,105.353447
74.09999847,103.0815506
74.30000305,104.51017
74.5,103.9689102
74.70000458,105.8214722
74.90000153,105.4902267
75.09999847,106.704361
75.30000305,105.8923569
75.5,106.8834457
75.70000458,105.7213135
75.90000153,107.1196365
76.09999847,107.7021332
76.30000305,106.9401932
76.5,108.1147385
76.70000458,108.848732
76.90000153,109.5070953
77.09999847,109.5790329
77.30000305,109.5321579
77.5,110.5097198
77.70000458,109.8533936
77.90000153,111.404686
78.09999847,110.46241
78.30000305,112.338562
78.5,112.5260239
78.70000458,113.4231033
78.90000153,112.6279144
79.09999847,113.0119019
79.30000305,112.7737656
79.5,113.6170578
79.70000458,112.4145203
79.90000153,112.1384811
80.09999847,113.7655106
80.30000305,113.3080673
80.5,112.8667068
80.70000458,112.6739273
80.90000153,111.6857529
81.09999847,111.5225143
81.30000305,110.3365173
81.5,110.6096191
81.70000458,111.4831924
81.90000153,109.1393127
82.09999847,109.2545013
82.30000305,108.9700089
82.5,109.4870605
82.70000458,107.3357468
82.90000153,109.1560974
83.09999847,108.1064529
83.30000305,107.5800705
83.5,106.8781509
83.70000458,107.4514999
83.90000153,106.9421082
84.09999847,106.840004
84.30000305,105.5695648
84.5,106.8679123
84.70000458,106.6149139
84.90000153,105.8144989
85.09999847,106.3139267
85.30000305,106.6189499
85.5,105.6713409
85.70000458,105.955719
85.90000153,106.0001831
86.09999847,106.1775436
86.30000305,105.7746429
86.5,105.9265594
86.70000458,105.2146149
86.90000153,105.4705963
87.09999847,106.4982681
87.30000305,105.9548569
87.5,106.1029968
87.70000458,107.3226089
87.90000153,106.0587921
88.09999847,105.5278931
88.30000305,105.948349
88.5,105.9705811
88.70000458,105.9431
88.90000153,106.403923
89.09999847,106.3220139
89.30000305,105.9358063
89.5,106.551651
89.70000458,106.3881454
89.90000153,107.1385956
90.09999847,105.8059464
90.30000305,106.2008514
90.5,106.3158417
90.70000458,106.3947754
90.90000153,106.1247025
91.09999847,105.8568344
91.30000305,106.5885773
91.5,106.1244125
91.70000458,105.958107
91.90000153,106.3497772
92.09999847,107.1659164
92.30000305,106.3181458
92.5,106.9787216
92.70000458,107.4347534
92.90000153,107.1722107
93.09999847,106.6236191
93.30000305,106.5456085
93.5,106.2707062
93.70000458,106.3652649
93.90000153,107.2190552
94.09999847,106.2873383
94.30000305,107.4845734
94.5,106.305954
94.70000458,106.8339386
94.90000153,106.2388611
95.09999847,107.1538086
95.30000305,107.8461761
95.5,106.5702209
95.70000458,106.0234604
95.90000153,106.8237
96.09999847,107.0389252
96.30000305,105.4964676
96.5,107.1007538
96.70000458,106.67453
96.90000153,107.0867844
97.09999847,106.735405
97.30000305,107.6770096
97.5,107.4946518
97.70000458,107.3133926
97.90000153,108.2180023
98.09999847,107.381279
98.30000305,107.0020599
98.5,107.3141785
98.70000458,108.5274353
98.90000153,107.3215027
99.09999847,108.2575073
99.30000305,105.6838989
99.5,107.3531799
99.70000458,107.4484634
99.90000153,107.5948105
100.0999985,108.5367737
100.3000031,108.2144547
100.5,99.83791351
100.7000046,96.34516907
100.9000015,97.69652557
101.0999985,106.5202789
101.3000031,104.3175964
101.5,104.3989792
101.7000046,104.4266586
101.9000015,104.6328888
102.0999985,104.735817
102.3000031,103.6331253
102.5,105.2593918
102.7000046,105.396553
102.9000015,106.0046234
103.0999985,105.5644989
103.3000031,105.4660873
103.5,106.1987991
103.7000046,104.8888626
