OA + GDP,
Time (s),Intensity (a.u.)
68.30000305,95.12073517
68.5,96.25875092
68.70000458,96.3092041
68.90000153,95.21037292
69.09999847,96.21335602
69.30000305,94.2327652
69.5,96.46923065
69.70000458,94.77074432
69.90000153,96.04470062
70.09999847,95.2155838
70.30000305,95.80337524
70.5,95.3712616
70.70000458,95.55482483
70.90000153,96.15002441
71.09999847,96.05991364
71.30000305,96.9794693
71.5,96.36911011
71.70000458,96.40688324
71.90000153,96.93058014
72.09999847,96.52754974
72.30000305,96.68463135
72.5,96.0717926
72.70000458,95.62530518
72.90000153,96.08952332
73.09999847,97.65426636
73.30000305,95.61362457
73.5,96.382164
73.70000458,96.80657959
73.90000153,96.71898651
74.09999847,95.75714874
74.30000305,97.33900452
74.5,96.24352264
74.70000458,97.00917816
74.90000153,97.99475098
75.09999847,97.17582703
75.30000305,97.68561554
75.5,96.69699097
75.70000458,97.998703
75.90000153,96.75068665
76.09999847,95.97058868
76.30000305,97.16498566
76.5,97.84207916
76.70000458,97.25615692
76.90000153,96.39813995
77.09999847,97.73776245
77.30000305,96.69265747
77.5,96.97379303
77.70000458,97.46134949
77.90000153,95.2893219
78.09999847,97.88308716
78.30000305,98.44584656
78.5,96.96626282
78.70000458,97.95533752
78.90000153,96.76364899
79.09999847,97.21635437
79.30000305,98.20994568
79.5,97.29110718
79.70000458,98.80847168
79.90000153,97.94776154
80.09999847,97.89575958
80.30000305,98.04872131
80.5,96.61694336
80.70000458,96.35896301
80.90000153,98.19384003
81.09999847,96.70059967
81.30000305,97.4245224
81.5,97.36978912
81.70000458,98.07009125
81.90000153,97.70313263
82.09999847,96.87552643
82.30000305,98.30979156
82.5,97.2804184
82.70000458,97.36812592
82.90000153,97.65686798
83.09999847,97.74784851
83.30000305,97.75177765
83.5,97.65013123
83.70000458,98.6479187
83.90000153,96.85092163
84.09999847,97.15697479
84.30000305,98.11112213
84.5,98.94332886
84.70000458,97.04928589
84.90000153,98.05982971
85.09999847,99.00267792
85.30000305,98.8079834
85.5,97.53050232
85.70000458,98.60259247
85.90000153,97.96572113
86.09999847,99.02370453
86.30000305,97.82969666
86.5,97.32389069
86.70000458,97.78912354
86.90000153,99.38100433
87.09999847,97.29669189
87.30000305,98.3680954
87.5,97.41957855
87.70000458,97.88936615
87.90000153,98.3298645
88.09999847,97.73400879
88.30000305,98.22357941
88.5,98.4766922
88.70000458,98.57349396
88.90000153,98.8019104
89.09999847,98.4559021
89.30000305,98.42199707
89.5,97.85987854
89.70000458,97.78652191
89.90000153,98.55773926
90.09999847,97.65644836
90.30000305,97.75123596
90.5,98.17057037
90.70000458,98.6848526
90.90000153,99.29029846
91.09999847,97.54537201
91.30000305,98.26686859
91.5,99.11067963
91.70000458,97.03842163
91.90000153,98.20541382
92.09999847,98.99080658
92.30000305,99.00215149
92.5,99.90053558
92.70000458,99.29646301
92.90000153,98.29557037
93.09999847,98.76239777
93.30000305,98.28881073
93.5,99.60516357
93.70000458,97.49485779
93.90000153,99.14446259
94.09999847,98.65378571
94.30000305,99.26770782
94.5,99.9074707
94.70000458,99.53607941
94.90000153,99.1170578
95.09999847,98.81335449
95.30000305,99.4107132
95.5,98.56751251
95.70000458,99.78221893
95.90000153,99.41526031
96.09999847,98.42740631
96.30000305,99.5923233
96.5,98.89984894
96.70000458,99.3399353
96.90000153,98.97247314
97.09999847,98.91963959
97.30000305,100.2161636
97.5,98.57070923
97.70000458,99.27358246
97.90000153,98.74108124
98.09999847,99.43210602
98.30000305,99.09332275
98.5,99.39272308
98.70000458,100.0808945
98.90000153,99.58370972
99.09999847,99.62114716
99.30000305,99.28582764
99.5,100.4124832
99.70000458,100.145813
99.90000153,99.66149139
100.0999985,99.87268829
100.3000031,98.61356354
100.5,86.35210419
100.7000046,78.37679291
100.9000015,89.14828491
101.0999985,93.39649963
101.3000031,95.41025543
101.5,98.23680115
101.7000046,97.8744812
101.9000015,97.46179199
102.0999985,97.26452637
102.3000031,98.37392426
102.5,98.56797791
102.7000046,99.12916565
102.9000015,99.17826843
103.0999985,101.901825
103.3000031,102.192009
103.5,100.504715
103.7000046,100.8724213
103.9000015,102.5688324
104.0999985,101.5143967
104.3000031,102.3263168
104.5,102.6450119
104.7000046,103.2064056
104.9000015,103.045929
105.0999985,103.0265198
105.3000031,102.2735443
105.5,103.5230255
105.7000046,103.4358292
105.9000015,103.3238373
106.0999985,102.6133499
106.3000031,103.5023651
106.5,103.5761414
106.7000046,105.3104248
106.9000015,103.6971664
107.0999985,103.5327911
107.3000031,104.6582108
107.5,104.7655029
107.7000046,103.8088837
107.9000015,105.7129974
108.0999985,105.1549606
108.3000031,105.4452286
108.5,104.5065384
108.7000046,105.6117783
108.9000015,104.0724411
109.0999985,104.4948502
109.3000031,104.8127975
109.5,104.3976135
109.7000046,104.8920059
109.9000015,105.3946228
110.0999985,105.276825
110.3000031,105.4268494
110.5,105.1814651
110.7000046,105.6382599
110.9000015,106.780571
111.0999985,105.9232864
111.3000031,105.8611526
111.5,105.2385941
111.7000046,107.2910614
111.9000015,106.9626083
112.0999985,105.5785904
112.3000031,107.2128448
112.5,105.9655991
112.7000046,107.5883255
112.9000015,105.9120865
113.0999985,105.6907272
113.3000031,105.8177261
113.5,108.2226791
113.7000046,108.2714844
113.9000015,107.0677032
114.0999985,107.1132355
114.3000031,106.1601486
114.5,107.3777695
114.7000046,108.1543808
114.9000015,105.9584656
115.0999985,106.1279449
115.3000031,105.6116486
115.5,106.5777893
115.7000046,108.9043198
115.9000015,107.8034592
116.0999985,108.1649475
116.3000031,106.5579529
116.5,108.3193588
116.7000046,107.7996902
116.9000015,107.8197784
117.0999985,106.51371
117.3000031,107.0049362
117.5,107.0082016
117.7000046,107.5824203
117.9000015,108.3916702
118.0999985,108.8228073
118.3000031,106.9877777
118.5,107.7943039
118.7000046,108.1390839
118.9000015,107.4019623
119.0999985,108.3005753
119.3000031,108.2265091
119.5,108.3956604
119.7000046,107.7787323
119.9000015,108.1883621
120.0999985,108.7635803
120.3000031,107.922081
120.5,108.3058777
120.7000046,108.1285706
120.9000015,108.7059174
121.0999985,108.3673325
121.3000031,106.5808792
121.5,108.7502518
121.7000046,109.5629807
121.9000015,108.3763123
122.0999985,109.1027298
122.3000031,109.6317673
122.5,108.1108017
122.7000046,109.2842407
122.9000015,109.0050201
123.0999985,108.1183777
123.3000031,108.585083
123.5,108.5772934
123.7000046,108.5128098
123.9000015,108.6817169
124.0999985,108.95578
124.3000031,108.7357025
124.5,108.7898026
124.7000046,108.2550964
124.9000015,108.0789871
125.0999985,108.2134476
125.3000031,109.2830887
125.5,107.702652
125.7000046,106.8194427
125.9000015,108.1651001
126.0999985,109.1826859
126.3000031,107.4523926
126.5,108.8480835
126.7000046,108.5724716
126.9000015,109.459053
127.0999985,108.4493179
127.3000031,109.5247955
127.5,109.6154633
127.7000046,108.7631836
127.9000015,109.6376419
128.1000061,108.9017868
128.3000031,109.3999557
128.5,109.679184
128.6999969,108.7297516
128.9000092,109.1586914
129.1000061,109.2644806
129.3000031,109.096405
129.5,109.4793625
129.6999969,108.7263947
129.9000092,109.6347122
130.1000061,109.2766266
130.3000031,109.375
130.5,108.8679428
130.6999969,110.0828476
130.9000092,109.2904892
131.1000061,110.006073
131.3000031,106.4570389
131.5,109.5359116
131.6999969,109.3305283
131.9000092,108.2284775
132.1000061,109.7401505
132.3000031,108.9930115
132.5,109.0671616
132.6999969,108.9483032
132.9000092,109.1788406
133.1000061,108.821991
133.3000031,109.0136414
133.5,108.8392334
133.6999969,109.1044159
133.9000092,109.4413757
134.1000061,110.1798401
134.3000031,109.4317627
134.5,109.3616028
134.6999969,109.3991013
134.9000092,108.6910477
135.1000061,109.9365387
135.3000031,109.7792511
135.5,108.5843811
135.6999969,109.410347
135.9000092,109.9055634
136.1000061,108.9257278
136.3000031,108.9407349
136.5,108.4920578
136.6999969,109.0343704
136.9000092,109.605835
137.1000061,107.6181412
137.3000031,109.813179
137.5,108.7315826
137.6999969,108.8355789
137.9000092,108.6705933
138.1000061,109.4514847
138.3000031,109.1792145
138.5,110.0444412
138.6999969,110.0396729
138.9000092,109.0960083
139.1000061,110.4265518
139.3000031,109.6806641
139.5,109.0777664
139.6999969,109.4825897
139.9000092,109.0297165
140.1000061,108.4225235
