GDP,
Time (s),Intensity (a.u.)
82.09999847,103.7782364
82.30000305,102.6313858
82.5,103.4517288
82.70000458,104.0853119
82.90000153,104.2679291
83.09999847,102.7696228
83.30000305,104.1146698
83.5,104.5031281
83.70000458,103.0954208
83.90000153,102.9698105
84.09999847,102.7282562
84.30000305,103.2327347
84.5,103.4482803
84.70000458,104.0355606
84.90000153,103.1596527
85.09999847,103.4336853
85.30000305,104.3643646
85.5,104.0124283
85.70000458,103.6428146
85.90000153,104.3316727
86.09999847,103.4421844
86.30000305,103.0787582
86.5,102.7254333
86.70000458,103.9330597
86.90000153,103.4588852
87.09999847,103.6854172
87.30000305,104.0630569
87.5,103.681221
87.70000458,103.1293106
87.90000153,104.2390518
88.09999847,102.7977829
88.30000305,103.3660278
88.5,103.2765579
88.70000458,103.5411377
88.90000153,103.6898193
89.09999847,103.3674316
89.30000305,103.6109314
89.5,103.4472198
89.70000458,103.9127655
89.90000153,103.0376663
90.09999847,104.1636276
90.30000305,104.2607193
90.5,104.1851883
90.70000458,103.2911148
90.90000153,104.9438248
91.09999847,104.908699
91.30000305,104.1170807
91.5,103.5219879
91.70000458,104.1373367
91.90000153,103.8498154
92.09999847,103.779274
92.30000305,103.6062698
92.5,103.163002
92.70000458,103.0365524
92.90000153,102.3053741
93.09999847,103.490181
93.30000305,104.6251678
93.5,104.0741653
93.70000458,104.2610703
93.90000153,103.4844513
94.09999847,103.8043976
94.30000305,104.1519547
94.5,103.9648285
94.70000458,103.9802246
94.90000153,102.9565659
95.09999847,103.9449158
95.30000305,103.9605026
95.5,104.2933044
95.70000458,104.1385193
95.90000153,104.0179977
96.09999847,103.6383438
96.30000305,102.6717834
96.5,103.8440704
96.70000458,104.6092377
96.90000153,105.5059433
97.09999847,103.644989
97.30000305,104.6239777
97.5,103.9196167
97.70000458,104.2941055
97.90000153,103.9935989
98.09999847,104.8453064
98.30000305,103.7985611
98.5,102.8942871
98.70000458,104.2068024
98.90000153,104.0114212
99.09999847,105.0291824
99.30000305,103.5098877
99.5,104.2754822
99.70000458,103.3744659
99.90000153,102.8260193
100.0999985,98.34161377
100.3000031,99.05660248
100.5,89.94703674
100.7000046,99.78632355
100.9000015,101.058403
101.0999985,101.3308868
101.3000031,101.1791077
101.5,102.0470734
101.7000046,102.7081985
101.9000015,103.4541855
102.0999985,101.7969055
102.3000031,102.6805267
102.5,103.7679749
102.7000046,105.2711945
102.9000015,103.5539856
103.0999985,104.2179642
103.3000031,105.2562332
103.5,105.1289902
103.7000046,104.0026093
103.9000015,104.7838745
104.0999985,105.6614532
104.3000031,105.198616
104.5,105.6580276
104.7000046,105.4558487
104.9000015,106.6678772
105.0999985,105.9517899
105.3000031,105.8241043
105.5,106.7261887
105.7000046,107.1268692
105.9000015,105.0960007
106.0999985,107.5629044
106.3000031,106.5363922
106.5,105.4680557
106.7000046,106.8642273
106.9000015,107.6731415
107.0999985,107.5486526
107.3000031,108.2152863
107.5,107.3534698
107.7000046,107.2643585
107.9000015,108.5369949
108.0999985,108.625946
108.3000031,108.7812042
108.5,107.7348557
108.7000046,107.2635269
108.9000015,108.2099991
109.0999985,107.8771667
109.3000031,108.5774536
109.5,107.8042679
109.7000046,107.6218109
109.9000015,108.1858368
110.0999985,109.0065918
110.3000031,109.1550674
110.5,108.4471664
110.7000046,109.2404251
110.9000015,108.3001785
111.0999985,108.6158142
111.3000031,108.4796829
111.5,109.9799576
111.7000046,110.2769852
111.9000015,109.2784958
112.0999985,110.7489319
112.3000031,109.576149
112.5,109.0051956
112.7000046,108.5913773
112.9000015,109.2741089
113.0999985,108.8529892
113.3000031,108.0366821
113.5,110.4922028
113.7000046,109.592598
113.9000015,109.5787201
114.0999985,109.7769318
114.3000031,110.2671738
114.5,108.9590454
114.7000046,109.2502136
114.9000015,108.672699
115.0999985,109.5513
115.3000031,108.8020706
115.5,108.8468475
115.7000046,109.4630508
115.9000015,108.8082428
116.0999985,109.5548553
116.3000031,109.650383
116.5,109.7635651
116.7000046,110.2819595
116.9000015,109.3368835
117.0999985,109.831871
117.3000031,108.9835739
117.5,110.3440094
117.7000046,108.9561081
117.9000015,108.9972229
118.0999985,109.7331467
118.3000031,110.2805405
118.5,110.495018
118.7000046,110.2115555
118.9000015,110.0197067
119.0999985,108.9231873
119.3000031,110.5328827
119.5,110.5001831
119.7000046,111.4891205
119.9000015,109.758316
120.0999985,109.954216
120.3000031,110.2345047
120.5,108.2457733
120.7000046,110.7544022
120.9000015,108.5839386
121.0999985,109.7162323
121.3000031,110.1526489
121.5,109.5894547
121.7000046,108.6488113
121.9000015,110.4609528
122.0999985,110.7705765
122.3000031,108.7005463
122.5,109.141777
122.7000046,110.1822891
122.9000015,109.8304977
123.0999985,110.4432068
123.3000031,111.8126755
123.5,110.7551346
123.7000046,109.4848251
123.9000015,111.3735733
124.0999985,110.6559753
124.3000031,109.1068115
124.5,110.1929245
124.7000046,109.4135742
124.9000015,109.6088791
125.0999985,110.1064453
125.3000031,109.6827011
125.5,110.8013077
125.7000046,110.5220947
125.9000015,111.7772598
126.0999985,109.3598862
126.3000031,110.7655945
126.5,110.7251053
126.7000046,109.3467789
126.9000015,110.5656967
127.0999985,110.8651352
127.3000031,109.1245193
127.5,109.5770798
127.7000046,110.3130875
127.9000015,108.5991745
128.1000061,111.3224945
128.3000031,110.8418503
128.5,110.0282364
128.6999969,110.7339783
128.9000092,110.7350693
129.1000061,111.1446075
129.3000031,110.1995163
129.5,111.0756073
129.6999969,110.411171
129.9000092,111.0935287
130.1000061,109.6839447
130.3000031,109.7522202
130.5,110.1944656
130.6999969,110.9525986
130.9000092,110.7489929
131.1000061,110.0212402
131.3000031,109.7173233
131.5,110.136467
131.6999969,109.1574249
131.9000092,110.8330307
132.1000061,109.4826584
132.3000031,109.3446503
132.5,111.7931976
132.6999969,110.7023239
132.9000092,111.2780609
133.1000061,110.6703491
133.3000031,109.6945877
133.5,111.4310226
133.6999969,110.9144669
133.9000092,111.2742767
134.1000061,109.4177399
134.3000031,110.414772
134.5,109.1500626
134.6999969,109.4123383
134.9000092,110.0643463
135.1000061,111.1008301
135.3000031,111.9624023
135.5,110.963028
135.6999969,111.2763214
135.9000092,109.6594086
136.1000061,110.9089127
136.3000031,110.543335
136.5,110.2571182
136.6999969,112.108902
136.9000092,110.1839294
137.1000061,111.1522446
137.3000031,110.4738693
137.5,111.7966461
137.6999969,110.2148666
137.9000092,110.8495331
138.1000061,110.0339584
138.3000031,111.1654282
138.5,110.4299698
138.6999969,110.7188187
138.9000092,110.9605255
139.1000061,111.1229095
139.3000031,110.3267365
139.5,111.0093155
139.6999969,110.2827835
139.9000092,111.9464951
140.1000061,110.6886139
