GDP + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
66.09999847,82.85357666
66.30000305,84.10804749
66.5,83.61282349
66.70000458,82.50352478
66.90000153,82.50432587
67.09999847,83.65103912
67.30000305,82.26105499
67.5,83.8607254
67.70000458,83.06192017
67.90000153,83.30754089
68.09999847,82.42237091
68.30000305,83.55144501
68.5,82.30926514
68.70000458,83.22380066
68.90000153,82.93507385
69.09999847,81.97375488
69.30000305,84.27706146
69.5,82.44419098
69.70000458,83.73041534
69.90000153,83.64201355
70.09999847,83.64818573
70.30000305,84.70108032
70.5,84.15975189
70.70000458,82.88818359
70.90000153,84.39347839
71.09999847,83.62608337
71.30000305,84.35388947
71.5,83.22054291
71.70000458,83.68785858
71.90000153,83.08354187
72.09999847,83.90377808
72.30000305,83.75939178
72.5,82.80858612
72.70000458,83.63607025
72.90000153,83.07888794
73.09999847,83.24714661
73.30000305,82.9107666
73.5,83.88401031
73.70000458,83.96877289
73.90000153,84.43762207
74.09999847,82.62699127
74.30000305,83.86262512
74.5,84.87804413
74.70000458,83.56126404
74.90000153,83.38982391
75.09999847,83.88805389
75.30000305,85.25679779
75.5,83.92411804
75.70000458,84.42307281
75.90000153,84.0005188
76.09999847,85.25765991
76.30000305,84.22354889
76.5,84.40640259
76.70000458,84.60123444
76.90000153,83.8556366
77.09999847,84.69343567
77.30000305,83.79070282
77.5,84.56386566
77.70000458,84.26435852
77.90000153,84.24346161
78.09999847,84.68227386
78.30000305,83.42524719
78.5,83.45815277
78.70000458,84.45326996
78.90000153,84.76972961
79.09999847,83.98819733
79.30000305,85.38401031
79.5,83.66623688
79.70000458,84.74785614
79.90000153,83.49410248
80.09999847,84.41164398
80.30000305,84.22246552
80.5,84.41330719
80.70000458,85.2206955
80.90000153,85.09300232
81.09999847,83.81663513
81.30000305,84.49300385
81.5,85.10285187
81.70000458,85.42341614
81.90000153,85.54859924
82.09999847,85.09758759
82.30000305,84.53105164
82.5,83.68630219
82.70000458,84.62733459
82.90000153,85.4440918
83.09999847,84.32222748
83.30000305,84.40214539
83.5,85.73937225
83.70000458,85.01622009
83.90000153,83.90750122
84.09999847,85.12191772
84.30000305,84.55294037
84.5,84.39176178
84.70000458,84.64596558
84.90000153,85.3523407
85.09999847,83.697052
85.30000305,85.53765869
85.5,84.52950287
85.70000458,86.06881714
85.90000153,85.44580078
86.09999847,84.84854889
86.30000305,85.74463654
86.5,85.80392456
86.70000458,84.5234375
86.90000153,85.37130737
87.09999847,85.80732727
87.30000305,84.50378418
87.5,85.36108398
87.70000458,84.34887695
87.90000153,85.77710724
88.09999847,85.46742249
88.30000305,85.54795837
88.5,84.14742279
88.70000458,86.18561554
88.90000153,85.17893982
89.09999847,85.80267334
89.30000305,85.27187347
89.5,85.62625885
89.70000458,85.75441742
89.90000153,85.19155121
90.09999847,85.84790039
90.30000305,85.08442688
90.5,85.69814301
90.70000458,87.01082611
90.90000153,86.19387817
91.09999847,84.69025421
91.30000305,84.55114746
91.5,85.04629517
91.70000458,85.84196472
91.90000153,85.6765976
92.09999847,86.04577637
92.30000305,85.7494278
92.5,85.30574036
92.70000458,85.54060364
92.90000153,86.49046326
93.09999847,85.3423233
93.30000305,84.81821442
93.5,85.34121704
93.70000458,86.65766144
93.90000153,85.53827667
94.09999847,85.06916809
94.30000305,84.96315765
94.5,85.46347046
94.70000458,86.09554291
94.90000153,85.42267609
95.09999847,85.34306335
95.30000305,85.81083679
95.5,86.42836761
95.70000458,86.60847473
95.90000153,85.68814087
96.09999847,85.71788025
96.30000305,86.43208313
96.5,85.36465454
96.70000458,87.02927399
96.90000153,85.19898987
97.09999847,86.21398926
97.30000305,86.34151459
97.5,85.70401001
97.70000458,86.26486206
97.90000153,86.35330963
98.09999847,84.98355865
98.30000305,86.00634003
98.5,86.17765045
98.70000458,85.29214478
98.90000153,85.31602478
99.09999847,85.57049561
99.30000305,87.10983276
99.5,85.70658875
99.70000458,86.46205139
99.90000153,86.26953125
100.0999985,85.49783325
100.3000031,79.26306152
100.5,76.10372162
100.7000046,77.53771973
100.9000015,89.93927765
101.0999985,93.65600586
101.3000031,95.62029266
101.5,95.61231995
101.7000046,97.25038147
101.9000015,99.27733612
102.0999985,98.95063019
102.3000031,100.6489563
102.5,101.0740891
102.7000046,101.6473694
102.9000015,101.6838608
103.0999985,102.1771774
103.3000031,101.7770767
103.5,101.8070755
103.7000046,102.4974594
103.9000015,103.4822693
104.0999985,103.3967056
104.3000031,103.9582291
104.5,104.0114594
104.7000046,103.953598
104.9000015,103.7189102
105.0999985,103.7160721
105.3000031,102.7263947
105.5,104.6775055
105.7000046,104.3327255
105.9000015,103.3956528
106.0999985,105.8748779
106.3000031,104.7409515
106.5,103.8507767
106.7000046,104.6359711
106.9000015,104.7386932
107.0999985,105.8557816
107.3000031,104.2315369
107.5,104.4988937
107.7000046,104.7195511
107.9000015,104.5088959
108.0999985,104.1635361
108.3000031,105.4374008
108.5,105.3749847
108.7000046,105.422699
108.9000015,104.5902481
109.0999985,105.8321609
109.3000031,104.4007111
109.5,106.2273712
109.7000046,104.6648026
109.9000015,105.2925262
110.0999985,105.018364
110.3000031,105.0028992
