NA + 10ul TBS,
Time (s),Intensity (a.u.)
76.30000305,92.77151489
76.5,93.21214294
76.70000458,94.52657318
76.90000153,93.54057312
77.09999847,92.29148865
77.30000305,94.61050415
77.5,92.8994751
77.70000458,94.416008
77.90000153,94.16576385
78.09999847,94.81313324
78.30000305,93.03272247
78.5,94.60717773
78.70000458,93.68314362
78.90000153,94.02643585
79.09999847,93.31362915
79.30000305,93.99108887
79.5,94.11695099
79.70000458,95.33020782
79.90000153,93.98199463
80.09999847,93.70465088
80.30000305,94.89490509
80.5,94.70336914
80.70000458,93.86547089
80.90000153,95.06660461
81.09999847,93.90974426
81.30000305,94.00787354
81.5,94.82897949
81.70000458,95.92327881
81.90000153,94.97318268
82.09999847,95.57685089
82.30000305,93.50337982
82.5,94.50005341
82.70000458,94.39607239
82.90000153,94.74075317
83.09999847,93.61056519
83.30000305,94.13044739
83.5,93.62369537
83.70000458,94.3214798
83.90000153,94.99463654
84.09999847,94.18829346
84.30000305,94.60422516
84.5,92.98246765
84.70000458,95.64996338
84.90000153,94.22077179
85.09999847,94.18959045
85.30000305,94.38027191
85.5,95.72797394
85.70000458,95.18670654
85.90000153,94.49543762
86.09999847,94.00247955
86.30000305,93.75324249
86.5,93.40146637
86.70000458,96.28424835
86.90000153,94.45039368
87.09999847,94.42077637
87.30000305,96.43356323
87.5,95.14841461
87.70000458,94.41600037
87.90000153,94.98296356
88.09999847,93.69017029
88.30000305,95.87550354
88.5,95.80659485
88.70000458,94.92313385
88.90000153,95.40935516
89.09999847,95.23195648
89.30000305,95.40348053
89.5,93.63246155
89.70000458,94.96660614
89.90000153,95.03157806
90.09999847,94.3659668
90.30000305,95.51994324
90.5,95.85629272
90.70000458,94.91239166
90.90000153,96.09185791
91.09999847,94.39115906
91.30000305,95.86952209
91.5,96.64094543
91.70000458,95.39105988
91.90000153,95.24443054
92.09999847,96.11507416
92.30000305,96.28215027
92.5,96.70894623
92.70000458,95.19667053
92.90000153,97.56691742
93.09999847,95.05602264
93.30000305,95.15392303
93.5,96.27030182
93.70000458,96.59677887
93.90000153,96.44174194
94.09999847,96.48149109
94.30000305,95.94787598
94.5,96.42126465
94.70000458,97.01972198
94.90000153,96.12042999
95.09999847,97.47711182
95.30000305,95.77978516
95.5,96.53285217
95.70000458,96.01486206
95.90000153,94.60593414
96.09999847,97.49243927
96.30000305,96.76914978
96.5,95.86407471
96.70000458,96.29019928
96.90000153,97.45783997
97.09999847,95.89178467
97.30000305,96.78276825
97.5,96.87543488
97.70000458,96.64471436
97.90000153,97.29505157
98.09999847,96.2276535
98.30000305,97.15731049
98.5,97.07289886
98.70000458,97.15068817
98.90000153,98.12052917
99.09999847,96.73761749
99.30000305,96.8349762
99.5,98.32288361
99.70000458,96.21446228
99.90000153,97.72605896
100.0999985,97.17147064
100.3000031,97.80989838
100.5,90.45751953
100.7000046,86.22609711
100.9000015,85.09143066
101.0999985,92.8553772
101.3000031,93.81235504
101.5,95.60647583
101.7000046,95.65216827
101.9000015,98.02078247
102.0999985,104.0413589
102.3000031,102.0910568
102.5,101.4762268
102.7000046,100.6577835
102.9000015,101.6744995
103.0999985,102.3082123
103.3000031,102.7427979
103.5,102.9201431
103.7000046,104.0226517
103.9000015,104.3121414
104.0999985,104.2346573
104.3000031,104.775032
104.5,107.2619781
104.7000046,106.8246918
