OA,
Time (s),Intensity (a.u.)
92.70000458,106.3724518
92.90000153,106.9941101
93.09999847,107.3253555
93.30000305,106.6410675
93.5,107.324295
93.70000458,106.8148956
93.90000153,107.7056427
94.09999847,105.6444473
94.30000305,108.0109558
94.5,106.2830353
94.70000458,108.3173904
94.90000153,107.7718658
95.09999847,107.3196945
95.30000305,107.7663116
95.5,109.1858826
95.70000458,108.0862961
95.90000153,107.6239014
96.09999847,108.8742218
96.30000305,108.6084671
96.5,108.3284149
96.70000458,108.0122833
96.90000153,107.3378754
97.09999847,107.085083
97.30000305,106.3875198
97.5,108.3757553
97.70000458,107.7696838
97.90000153,109.5499191
98.09999847,108.2931519
98.30000305,108.9177322
98.5,107.9827957
98.70000458,106.4068909
98.90000153,109.0678329
99.09999847,108.861496
99.30000305,108.4059296
99.5,109.3794327
99.70000458,107.2353439
99.90000153,106.3074799
100.0999985,108.0609589
100.3000031,107.2969742
100.5,104.9633942
100.7000046,95.08101654
100.9000015,89.22964478
101.0999985,105.1613998
101.3000031,102.4027557
101.5,103.4502563
101.7000046,103.0035172
101.9000015,103.9065094
102.0999985,103.2781601
102.3000031,104.8746643
102.5,105.0837631
102.7000046,105.7336044
102.9000015,106.895401
103.0999985,107.646492
103.3000031,105.850174
103.5,106.4913483
103.7000046,105.9456482
103.9000015,105.6150436
104.0999985,106.6689453
104.3000031,107.294075
104.5,108.113472
104.7000046,107.4663544
104.9000015,107.744957
105.0999985,109.3984375
105.3000031,109.272789
105.5,109.3400955
105.7000046,108.3994446
105.9000015,108.8554459
106.0999985,108.863945
106.3000031,109.9162216
106.5,109.026123
106.7000046,109.6612778
106.9000015,109.1621246
107.0999985,109.4797745
107.3000031,108.3013077
107.5,109.7126007
107.7000046,109.9525757
107.9000015,108.7758789
108.0999985,108.725235
108.3000031,110.0982056
108.5,110.2434998
108.7000046,108.4708023
108.9000015,110.4728699
109.0999985,110.0166168
109.3000031,109.2566757
109.5,110.7185211
109.7000046,109.2153168
109.9000015,111.0556107
110.0999985,109.6602631
110.3000031,109.6378174
110.5,110.4468155
110.7000046,109.4354858
110.9000015,110.1256104
111.0999985,110.5089264
111.3000031,110.2900314
111.5,109.1782837
111.7000046,109.6680984
111.9000015,110.0782242
112.0999985,110.494957
112.3000031,109.1273117
112.5,109.8015442
112.7000046,109.8726883
112.9000015,111.5769806
113.0999985,109.8804092
113.3000031,111.0821152
113.5,110.7740326
113.7000046,110.1039047
113.9000015,110.4935608
114.0999985,110.5696793
114.3000031,110.5391006
114.5,110.9180374
114.7000046,111.2833023
114.9000015,110.9696732
115.0999985,110.1051254
115.3000031,111.143837
115.5,110.9089813
115.7000046,111.0244827
115.9000015,110.442955
116.0999985,110.5941467
116.3000031,110.8001785
116.5,110.9176025
116.7000046,111.8713531
116.9000015,109.2513504
117.0999985,111.1133804
117.3000031,111.057045
117.5,110.9300308
117.7000046,110.650856
117.9000015,110.7185974
118.0999985,110.02314
118.3000031,111.1654587
118.5,110.8111115
118.7000046,111.7619095
118.9000015,111.2796478
119.0999985,111.4630814
119.3000031,110.3415298
119.5,111.636528
119.7000046,110.2694397
119.9000015,110.4248657
120.0999985,110.6638031
120.3000031,110.060463
120.5,112.0968399
120.7000046,111.3729324
120.9000015,110.6779633
121.0999985,112.0175018
121.3000031,111.6271667
121.5,111.6147842
121.7000046,111.6930618
121.9000015,112.0705032
122.0999985,111.3620758
122.3000031,111.6190033
122.5,110.163147
122.7000046,112.0005646
122.9000015,110.5275726
123.0999985,112.6774368
123.3000031,110.9394989
123.5,111.8250809
123.7000046,111.2451248
123.9000015,111.3855743
