Capacity Cal,
Time (s),Intensity (a.u.)
32.90000153,0.157741979
33.10000229,0.156990811
33.29999924,0.188651562
33.5,0.031192813
33.70000076,0.104862474
33.90000153,0.178040296
34.10000229,0.084428266
34.29999924,0.16060473
34.5,0.092982888
34.70000076,0.176515162
34.90000153,0.170942009
35.10000229,0.1078109
35.29999924,0.126462221
35.5,0.052703701
35.70000076,0.126996219
35.90000153,0.074959308
36.10000229,0.082852617
36.29999924,0.074371554
36.5,0.187969923
36.70000076,0.105471879
36.90000153,0.091004692
37.10000229,0.168109611
37.29999924,0.052381802
37.5,0.129208714
37.70000076,0.188695058
37.90000153,0.146142364
38.10000229,0.097087383
38.29999924,0.136302635
38.5,0.174016297
38.70000076,0.169961438
38.90000153,0.171782568
39.10000229,0
39.29999924,0.041688379
39.5,0.074316286
39.70000076,0.092394874
39.90000153,0.091399319
40.10000229,0.031178871
40.29999924,0.123356529
40.5,0.097668968
40.70000076,0.095566764
40.90000153,0.200010523
41.10000229,0.176801547
41.29999924,0.106673494
41.5,0.148833245
41.70000076,0.135010228
41.90000153,0.063451782
42.10000229,0
42.29999924,0.196118906
42.5,0.147238225
42.70000076,-0.021365695
42.90000153,0
43.10000229,0.083599806
43.29999924,0.031330939
43.5,0.187433615
43.70000076,0.086721808
43.90000153,0.12474142
44.10000229,0.115481928
44.29999924,0.060908757
44.5,0.096092246
44.70000076,0.203217253
44.90000153,-0.030596009
45.10000229,0.139354885
45.29999924,0.15943031
45.5,0.170592055
45.70000076,0.138977975
45.90000153,0.173447371
46.10000229,0.155120537
46.29999924,0.13667953
46.5,0.021190032
46.70000076,0.010472849
46.90000153,0.14903447
47.10000229,0.065024443
47.29999924,0.041137028
47.5,0.083739817
47.70000076,0.06389232
47.90000153,0.167971939
48.10000229,0.075778082
48.29999924,0.159220457
48.5,0.092031129
48.70000076,0.156802073
48.90000153,0.125026047
49.10000229,0.203341216
49.29999924,0.139135644
49.5,0.146956936
49.70000076,0.123793013
49.90000153,0.020673543
50.10000229,0.073682666
50.29999924,0.195130408
50.5,0.216354325
50.70000076,0.239132464
50.90000153,0.156368896
51.10000229,0.051968031
51.29999924,0.103328206
51.5,0.223623127
51.70000076,0.146429718
51.90000153,0.084546037
52.10000229,0.126929045
52.29999924,0.17263791
52.5,0
52.70000076,0.152324468
52.90000153,0.229453474
53.10000229,0.139192253
53.29999924,0.189907476
53.5,0.130684778
53.70000076,0.13493456
53.90000153,0.129749581
54.10000229,0.278629154
54.29999924,0.08179123
54.5,86.90911102
54.70000076,233.9042053
54.90000153,238.2784729
55.10000229,239.7515564
55.29999924,238.3140717
55.5,237.8995667
55.70000076,235.6985321
55.90000153,238.4369049
56.10000229,237.3594513
56.29999924,239.2381134
56.5,237.9025574
56.70000076,238.6224518
56.90000153,239.9599762
57.10000229,238.0466919
57.29999924,239.1775208
57.5,237.4607697
57.70000076,238.4098969
57.90000153,239.5942993
58.10000229,239.1604462
58.29999924,238.214447
58.5,238.0235138
58.70000076,237.6018372
58.90000153,238.8761902
59.10000229,237.8527222
59.29999924,237.6168213
59.5,237.0514984
59.70000076,239.0176697
59.90000153,238.7322235
60.10000229,238.1821289
60.29999924,239.7734222
60.5,238.9492035
60.70000076,237.7843933
60.90000153,238.9216461
61.10000229,238.8526611
61.29999924,235.2915955
61.5,238.6483612
61.70000076,236.9726563
61.90000153,237.2089081
62.10000229,236.6430206
62.29999924,237.244812
62.5,236.3009338
62.70000076,236.3318481
62.90000153,235.7166138
63.10000229,238.2915649
63.29999924,237.3036957
63.5,234.8579712
63.70000076,235.710556
63.90000153,237.8357697
64.09999847,237.8852844
64.30000305,236.1547699
64.5,238.0476074
64.70000458,236.208313
64.90000153,234.5134125
65.09999847,235.4900665
65.30000305,237.2314606
65.5,235.5611877
65.70000458,235.7447968
65.90000153,234.976944
66.09999847,234.2144165
66.30000305,235.8213654
66.5,235.7920227
66.70000458,233.8135986
66.90000153,236.0623169
67.09999847,236.1494751
67.30000305,234.1087494
67.5,233.9472198
67.70000458,236.1941223
67.90000153,239.693924
68.09999847,246.4127502
68.30000305,159.8428345
68.5,0.519982934
68.70000458,0
68.90000153,0.103802271
69.09999847,0.1358511
69.30000305,0.116677456
69.5,0.241911739
69.70000458,0.074263468
69.90000153,0.063254438
70.09999847,0.175534606
70.30000305,0.157212928
