OA + GDP + TBS,
Time (s),Intensity (a.u.)
61.5,95.85723114
61.70000076,94.38833618
61.90000153,95.4548111
62.10000229,94.52910614
62.29999924,94.1684494
62.5,94.27128601
62.70000076,95.48047638
62.90000153,95.11547852
63.10000229,94.76885986
63.29999924,96.08509064
63.5,95.71664429
63.70000076,95.07195282
63.90000153,95.93570709
64.09999847,95.46549225
64.30000305,95.91311646
64.5,95.22978973
64.70000458,95.08945465
64.90000153,94.68074036
65.09999847,96.93812561
65.30000305,94.70896912
65.5,96.50324249
65.70000458,96.37532043
65.90000153,95.73186493
66.09999847,95.00025177
66.30000305,95.4132843
66.5,96.76812744
66.70000458,95.73904419
66.90000153,95.72129822
67.09999847,95.98475647
67.30000305,95.06393433
67.5,95.0154953
67.70000458,96.48032379
67.90000153,96.37215424
68.09999847,95.86116791
68.30000305,94.85308838
68.5,95.87935638
68.70000458,95.77716064
68.90000153,95.79488373
69.09999847,96.29688263
69.30000305,96.99571991
69.5,97.04633331
69.70000458,97.3527832
69.90000153,95.89082336
70.09999847,97.63581085
70.30000305,94.72476196
70.5,95.82785797
70.70000458,96.41933441
70.90000153,96.86673737
71.09999847,95.15751648
71.30000305,96.95708466
71.5,96.7805481
71.70000458,97.65292358
71.90000153,97.00012207
72.09999847,96.5737381
72.30000305,96.77933502
72.5,97.26489258
72.70000458,96.45209503
72.90000153,96.79550934
73.09999847,96.75489044
73.30000305,98.11735535
73.5,97.11312103
73.70000458,97.20861053
73.90000153,97.6958313
74.09999847,96.61125946
74.30000305,96.35296631
74.5,97.43901062
74.70000458,96.78788757
74.90000153,97.01287842
75.09999847,97.74263763
75.30000305,98.03941345
75.5,97.85449982
75.70000458,97.38179016
75.90000153,97.72602844
76.09999847,98.04299164
76.30000305,99.01663971
76.5,98.59182739
76.70000458,97.51078033
76.90000153,97.12812805
77.09999847,98.66023254
77.30000305,97.70443726
77.5,98.3289566
77.70000458,98.34899139
77.90000153,97.64587402
78.09999847,98.39492798
78.30000305,97.62763977
78.5,98.69610596
78.70000458,99.24829865
78.90000153,97.83651733
79.09999847,97.98865509
79.30000305,97.59391785
79.5,98.20750427
79.70000458,99.05274963
79.90000153,97.54489899
80.09999847,99.41474915
80.30000305,99.4797287
80.5,99.40512085
80.70000458,98.99868774
80.90000153,98.93354034
81.09999847,97.88832855
81.30000305,98.78163147
81.5,97.63563538
81.70000458,98.82933807
81.90000153,98.51984406
82.09999847,99.02428436
82.30000305,97.86460114
82.5,98.69602966
82.70000458,99.41233826
82.90000153,98.12969971
83.09999847,98.47805023
83.30000305,100.6917953
83.5,98.77039337
83.70000458,99.73731232
83.90000153,98.96862793
84.09999847,98.75453186
84.30000305,98.32701111
84.5,98.84075165
84.70000458,99.15705109
84.90000153,97.99938965
85.09999847,99.15058136
85.30000305,99.2434845
85.5,99.36862946
85.70000458,99.17355347
85.90000153,98.99856567
86.09999847,99.2473526
86.30000305,98.62798309
86.5,100.7331543
86.70000458,99.76421356
86.90000153,98.97486115
87.09999847,100.3361206
87.30000305,99.58882904
87.5,99.52528381
87.70000458,98.22284698
87.90000153,99.46905518
88.09999847,98.92998505
88.30000305,100.4258499
88.5,98.9522171
88.70000458,99.37001038
88.90000153,100.3132935
89.09999847,99.1674881
89.30000305,100.4060135
89.5,98.79672241
89.70000458,98.88543701
89.90000153,100.3164215
90.09999847,99.27112579
90.30000305,98.95489502
90.5,99.37215424
90.70000458,100.7496338
90.90000153,99.79904938
91.09999847,99.75791168
91.30000305,99.89283752
91.5,99.90674591
91.70000458,99.92391968
91.90000153,100.0020065
92.09999847,100.4010086
92.30000305,98.94970703
92.5,100.8300781
92.70000458,100.1195297
92.90000153,99.69138336
93.09999847,100.9324722
93.30000305,101.8125229
93.5,100.1570511
93.70000458,99.73365784
93.90000153,100.3518982
94.09999847,101.3081589
94.30000305,100.6180573
94.5,100.3478622
94.70000458,100.0405197
94.90000153,100.374588
95.09999847,100.2711639
95.30000305,100.6440964
95.5,101.2176743
95.70000458,101.020195
95.90000153,100.669487
96.09999847,102.0455933
96.30000305,100.2321167
96.5,100.0030823
96.70000458,99.41821289
96.90000153,100.8363495
97.09999847,100.8308716
97.30000305,100.6526184
97.5,100.6950531
97.70000458,100.8595505
97.90000153,100.5210876
98.09999847,101.3779297
98.30000305,99.72805023
98.5,100.5363159
98.70000458,102.0800476
