OA + 10uM NB65 + TBS,
Time (s),Intensity (a.u.)
58.29999924,100.8933334
58.5,102.2538452
58.70000076,101.2798843
58.90000153,100.6990967
59.10000229,101.1116333
59.29999924,100.2326584
59.5,101.0425568
59.70000076,101.5809784
59.90000153,101.2840424
60.10000229,102.5522919
60.29999924,101.3190002
60.5,102.5527573
60.70000076,101.177597
60.90000153,102.7678833
61.10000229,101.9702682
61.29999924,101.51651
61.5,102.3044434
61.70000076,102.276207
61.90000153,102.5783615
62.10000229,102.6212387
62.29999924,101.0820541
62.5,102.5291748
62.70000076,102.5765991
62.90000153,101.8488464
63.10000229,100.5385818
63.29999924,102.341835
63.5,103.0202789
63.70000076,102.5032043
63.90000153,101.8261795
64.09999847,102.8634644
64.30000305,101.399498
64.5,101.8867111
64.70000458,102.5016785
64.90000153,102.535881
65.09999847,101.1237106
65.30000305,102.0418625
65.5,102.2415619
65.70000458,102.1294708
65.90000153,102.270134
66.09999847,103.0307465
66.30000305,102.7803345
66.5,102.3717575
66.70000458,103.6209106
66.90000153,103.8124313
67.09999847,102.9177475
67.30000305,102.8642883
67.5,103.9854431
67.70000458,104.2393112
67.90000153,104.2048264
68.09999847,102.8867645
68.30000305,103.1247101
68.5,103.6987457
68.70000458,104.8330002
68.90000153,105.0215302
69.09999847,104.2471008
69.30000305,103.2643204
69.5,104.5212936
69.70000458,104.5289536
69.90000153,103.4002533
70.09999847,103.5423508
70.30000305,105.6671524
70.5,105.1107559
70.70000458,105.0236282
70.90000153,105.7059402
71.09999847,106.0161209
71.30000305,106.1274872
71.5,105.1114044
71.70000458,105.0372543
71.90000153,105.3265991
72.09999847,104.1037903
72.30000305,105.4169388
72.5,105.532692
72.70000458,106.3829803
72.90000153,105.1670837
73.09999847,105.4901962
73.30000305,104.3479156
73.5,105.4307632
73.70000458,105.1269608
73.90000153,105.3315353
74.09999847,104.9514618
74.30000305,104.8267899
74.5,104.9401321
74.70000458,104.8426132
74.90000153,106.1235962
75.09999847,105.7439804
75.30000305,105.7633133
75.5,105.6350632
75.70000458,106.9907227
75.90000153,106.3686218
76.09999847,107.2281036
76.30000305,105.7273102
76.5,105.4477997
76.70000458,106.0967255
76.90000153,105.4043808
77.09999847,105.1623764
77.30000305,106.7965012
77.5,106.4898834
77.70000458,105.1732941
77.90000153,105.8552704
78.09999847,105.8526764
78.30000305,107.5001984
78.5,107.0057755
78.70000458,107.4483871
78.90000153,106.4960785
79.09999847,107.2122421
79.30000305,106.134758
79.5,105.7959366
79.70000458,105.9682236
79.90000153,106.0005417
80.09999847,106.407402
80.30000305,106.4307098
80.5,105.4897995
80.70000458,106.4867859
80.90000153,105.5605164
81.09999847,106.4844818
81.30000305,107.7105637
81.5,108.428894
81.70000458,110.4243546
81.90000153,111.3166122
82.09999847,110.6797714
82.30000305,110.9938202
82.5,110.8317413
82.70000458,110.0806732
82.90000153,108.4360657
83.09999847,109.2612076
83.30000305,108.3202057
83.5,105.9102325
83.70000458,105.8103256
83.90000153,106.2407837
84.09999847,105.7325745
84.30000305,106.1540298
84.5,106.2883911
84.70000458,105.7283707
84.90000153,105.8152695
85.09999847,104.6804276
85.30000305,105.0946503
85.5,106.8339996
85.70000458,106.9008484
85.90000153,105.0959167
86.09999847,104.8613663
86.30000305,106.1994171
86.5,105.0106812
86.70000458,105.1928177
86.90000153,105.1750946
87.09999847,104.1628036
87.30000305,105.6036758
87.5,104.9320908
87.70000458,105.5881577
87.90000153,104.9034271
88.09999847,105.5652847
88.30000305,105.6029663
88.5,105.9480515
88.70000458,105.9549942
88.90000153,104.9807587
89.09999847,105.165802
89.30000305,105.5565796
89.5,104.3643265
89.70000458,105.4995041
89.90000153,106.2134857
90.09999847,105.562973
90.30000305,106.2758408
90.5,106.6729202
90.70000458,106.681839
90.90000153,106.2037811
91.09999847,106.6939545
91.30000305,106.5039063
91.5,107.5996704
91.70000458,106.0412292
91.90000153,106.687706
92.09999847,106.2770767
92.30000305,106.8231812
92.5,105.1941376
92.70000458,106.8416748
92.90000153,106.8064346
93.09999847,106.6223984
93.30000305,105.6813431
93.5,106.0120773
93.70000458,104.5758362
93.90000153,104.983284
94.09999847,106.1800232
94.30000305,105.5871506
94.5,106.3688126
94.70000458,104.6525879
94.90000153,105.9878311
95.09999847,106.4600449
95.30000305,106.0032806
95.5,106.5027618
95.70000458,105.3172913
95.90000153,105.0479965
96.09999847,105.989975
96.30000305,106.1674805
96.5,106.5412674
96.70000458,106.0942001
96.90000153,106.6261063
97.09999847,105.7276001
97.30000305,106.8551865
97.5,106.1416931
97.70000458,108.1106491
97.90000153,106.2461548
98.09999847,106.7149582
98.30000305,105.9355621
98.5,107.2142487
98.70000458,105.4945068
98.90000153,107.3468018
99.09999847,105.6390152
99.30000305,106.1113052
99.5,105.5049744
99.70000458,105.696907
99.90000153,106.2420197
100.0999985,101.8308029
100.3000031,94.68016815
100.5,97.65707397
100.7000046,101.7079544
100.9000015,101.32901
101.0999985,105.2605286
101.3000031,104.2614517
101.5,104.0215912
101.7000046,101.9558945
101.9000015,102.5008926
102.0999985,103.6123962
102.3000031,103.4894257
102.5,104.449852
102.7000046,105.317009
102.9000015,103.6488113
103.0999985,104.9085617
103.3000031,105.4272842
103.5,107.0053711
103.7000046,107.4246902
103.9000015,108.0683899
104.0999985,108.7611771
104.3000031,108.2639999
104.5,109.2493134
104.7000046,108.5073624
104.9000015,106.8615875
105.0999985,106.4547806
105.3000031,104.4025269
105.5,104.4776154
105.7000046,105.5929489
105.9000015,104.8141937
106.0999985,105.2278137
106.3000031,103.9531937
106.5,104.533493
106.7000046,103.8162766
