Proton Cal,
Time (s),Intensity (a.u.)
31.5,88.37672424
31.70000076,88.92854309
31.89999962,88.49660492
32.10000229,89.48944092
32.29999924,88.77719879
32.5,88.8567276
32.70000076,88.60149384
32.90000153,89.67266846
33.10000229,88.60283661
33.29999924,89.17066193
33.5,88.65618134
33.70000076,88.38085175
33.90000153,87.57789612
34.10000229,88.18771362
34.29999924,85.57691193
34.5,86.36547089
34.70000076,85.02228546
34.90000153,85.97187042
35.10000229,85.93178558
35.29999924,85.6000061
35.5,85.14974976
35.70000076,85.20193481
35.90000153,86.67221069
36.10000229,84.81537628
36.29999924,85.74777222
36.5,83.73971558
36.70000076,83.46109772
36.90000153,83.44804382
37.10000229,84.85906982
37.29999924,83.49373627
37.5,82.62594604
37.70000076,83.91745758
37.90000153,83.69680786
38.10000229,84.08390045
38.29999924,83.99745941
38.5,83.02483368
38.70000076,83.72760773
38.90000153,82.58522034
39.10000229,83.39453125
39.29999924,82.78897858
39.5,83.08876801
39.70000076,83.53261566
39.90000153,82.77172089
40.10000229,81.9125061
40.29999924,83.94161224
40.5,82.05960083
40.70000076,82.69381714
40.90000153,82.92672729
41.10000229,82.59716797
41.29999924,83.74835968
41.5,82.38323975
41.70000076,82.24346161
41.90000153,84.08148956
42.10000229,82.3380127
42.29999924,81.73254395
42.5,82.4447403
42.70000076,83.39681244
42.90000153,82.26242828
43.10000229,82.01152039
43.29999924,81.9148941
43.5,83.04711914
43.70000076,82.4043045
43.90000153,82.43553162
44.10000229,82.49617004
44.29999924,81.72512817
44.5,83.11488342
44.70000076,83.5382843
44.90000153,82.95688629
45.10000229,81.29711914
45.29999924,82.11128998
45.5,82.19734955
45.70000076,84.44622803
45.90000153,81.15758514
46.10000229,83.23360443
46.29999924,82.04976654
46.5,78.35372162
46.70000076,3.315383434
46.90000153,0.23252523
47.10000229,0.093333885
47.29999924,0.112516999
47.5,0.020306012
47.70000076,0.121443972
47.90000153,0.136584029
48.10000229,0.128940105
48.29999924,0.049087461
48.5,0.189465702
48.70000076,0.050154474
48.90000153,0.118044011
49.10000229,0.225965485
49.29999924,0.214340404
49.5,0.210359722
49.70000076,0.149003178
49.90000153,0.179511726
50.10000229,0.162869766
50.29999924,0.173027992
50.5,0
50.70000076,0.072199188
50.90000153,0.11616119
51.10000229,0.070878178
51.29999924,0.131541669
51.5,0.082673661
51.70000076,0.209321067
51.90000153,0.072123311
52.10000229,0.109321117
52.29999924,0.152493253
52.5,0.192136556
52.70000076,0.009799886
52.90000153,0.03964714
53.10000229,0.059420649
53.29999924,0.173705131
53.5,0.107971221
53.70000076,0.081366137
53.90000153,0.167000681
54.10000229,0.192037523
54.29999924,0.225292116
54.5,0.18824181
54.70000076,0.189565897
54.90000153,0.151577935
55.10000229,0.174496785
55.29999924,0.159664705
55.5,0.211059526
55.70000076,0.170379952
55.90000153,0.130599454
56.10000229,0.029602733
56.29999924,0.058389615
56.5,0.223402411
56.70000076,0.078766517
56.90000153,0.086903624
57.10000229,0.138815895
57.29999924,0.144111604
57.5,0.157399759
57.70000076,0.158187181
57.90000153,0.148852348
58.10000229,0.168097153
58.29999924,0.171485066
58.5,0.139040619
58.70000076,0.079088114
58.90000153,0.097796641
59.10000229,0.089789897
59.29999924,0.147854626
59.5,0.068465687
59.70000076,0.177085176
59.90000153,0.038645476
60.10000229,0.274590552
60.29999924,0.098763481
60.5,0.186574489
60.70000076,0.126448065
60.90000153,0.096657582
61.10000229,0.058175612
61.29999924,0.096732378
61.5,0.114615366
61.70000076,-0.038674623
61.90000153,0.18704468
62.10000229,0.178631693
62.29999924,0.146056488
62.5,0.058609776
62.70000076,0.168806538
62.90000153,0.089886747
63.10000229,0.099724762
63.29999924,0.169007927
63.5,0.147546306
63.70000076,0.150762856
63.90000153,0.099938035
64.09999847,0.158865705
64.30000305,0.11457856
64.5,0
64.70000458,0
64.90000153,0.172748432
65.09999847,0.080758318
65.30000305,0.186090246
65.5,0.199828148
65.70000458,0.190495282
65.90000153,0.183718473
66.09999847,0.131053671
66.30000305,0.133961231
66.5,0.132932484
66.70000458,0.166772634
66.90000153,0.146573827
67.09999847,0.070820093
67.30000305,0.162342608
67.5,0.225199863
67.70000458,0.102707364
67.90000153,0.18370159
68.09999847,0.207615331
68.30000305,0.195027828
68.5,0.133663729
68.70000458,0.040258862
68.90000153,0.081182837
69.09999847,0.144313529
69.30000305,0.194975793
69.5,0.207240999
69.70000458,0.208372802
69.90000153,0.121124029
70.09999847,0.091575094
70.30000305,0.158626288
70.5,0.101845443
70.70000458,0.167785242
70.90000153,0.17899406
71.09999847,0.164795756
71.30000305,0.117483504
71.5,0.169160962
71.70000458,0.250050008
71.90000153,0.130937502
72.09999847,0.15109545
72.30000305,0.121450119
72.5,0.071184516
72.70000458,0.153772026
72.90000153,0.030596321
73.09999847,0.186857685
73.30000305,0.117020033
73.5,0.14416641
73.70000458,0.186304554
73.90000153,0.156331435
74.09999847,0.084304594
74.30000305,0.07373932
74.5,0.091256604
74.70000458,0.091615178
74.90000153,0.131390095
75.09999847,0.174852148
75.30000305,0.155488759
75.5,0.093523011
75.70000458,0.072975963
75.90000153,0.157035172
76.09999847,0.040865533
76.30000305,0.231434897
76.5,0.162372261
76.70000458,0.112133905
76.90000153,0.278672278
77.09999847,0.010337734
77.30000305,20.15456581
