OA + 10ul TBS ,
Time (s),Intensity (a.u.)
106.9000015,108.2381058
107.0999985,107.3517761
107.3000031,108.1504364
107.5,106.7788849
107.7000046,108.7312088
107.9000015,107.1318207
108.0999985,108.8590698
108.3000031,107.513443
108.5,108.0786667
108.7000046,109.0929413
108.9000015,108.7162628
109.0999985,107.1961365
109.3000031,107.6956406
109.5,108.1139526
109.7000046,108.7217789
109.9000015,107.8980103
110.0999985,108.5804138
110.3000031,108.4639816
110.5,108.722229
110.7000046,109.0174713
110.9000015,109.8461227
111.0999985,108.9907074
111.3000031,110.2108612
111.5,110.2715073
111.7000046,109.6758041
111.9000015,108.9079361
112.0999985,110.7705154
112.3000031,111.04245
112.5,110.5227585
112.7000046,112.7476425
112.9000015,111.6253815
113.0999985,112.426033
113.3000031,111.9874115
113.5,111.8181076
113.7000046,111.1089325
113.9000015,110.8443604
114.0999985,110.0936279
114.3000031,110.2764282
114.5,109.9196548
114.7000046,111.0930176
114.9000015,108.4551086
115.0999985,109.1151428
115.3000031,109.1158447
115.5,110.0369949
115.7000046,109.419342
115.9000015,108.9148026
116.0999985,110.5229111
116.3000031,108.583374
116.5,109.610405
116.7000046,109.1998215
116.9000015,109.9163818
117.0999985,111.487709
117.3000031,109.5271912
117.5,109.015564
117.7000046,109.1360168
117.9000015,109.1125336
118.0999985,109.5035706
118.3000031,108.5611877
118.5,108.9098892
118.7000046,109.7381973
118.9000015,108.3687439
119.0999985,109.3566971
119.3000031,110.2277756
119.5,108.7084503
119.7000046,110.3440247
119.9000015,108.9104919
120.0999985,110.5255356
120.3000031,110.0707474
120.5,108.981308
120.7000046,108.9936829
120.9000015,109.3556442
121.0999985,109.5312958
121.3000031,109.4085007
121.5,109.4936295
121.7000046,108.9048386
121.9000015,109.9930649
122.0999985,110.236618
122.3000031,108.7998505
122.5,109.145256
122.7000046,109.4115372
122.9000015,109.3850174
123.0999985,109.2175293
123.3000031,109.0258484
123.5,110.5379944
123.7000046,110.6936798
123.9000015,109.0056
124.0999985,110.2176819
124.3000031,108.9230957
124.5,109.2207031
124.7000046,110.4208832
124.9000015,109.6968842
125.0999985,110.8441315
125.3000031,110.112587
125.5,109.8599472
125.7000046,108.4965591
125.9000015,110.5574875
126.0999985,110.2810669
126.3000031,109.7766571
126.5,109.7398682
126.7000046,110.7165375
126.9000015,110.6138306
127.0999985,109.9359818
127.3000031,110.433815
127.5,109.8501892
127.7000046,110.3842087
127.9000015,111.4422302
128.1000061,111.1441879
128.3000031,109.7057419
128.5,110.0970306
128.6999969,109.830513
128.9000092,110.9361801
129.1000061,110.5522385
129.3000031,110.1708755
129.5,110.7967834
129.6999969,109.8915558
129.9000092,109.8165131
130.1000061,110.3506546
130.3000031,110.7471924
130.5,109.5864868
130.6999969,111.2998581
130.9000092,109.4078598
131.1000061,109.2974396
131.3000031,110.4513779
131.5,111.0773163
131.6999969,109.4812546
131.9000092,110.6579666
132.1000061,110.6984634
132.3000031,109.8162918
132.5,110.0415497
132.6999969,110.8156738
132.9000092,110.7307434
133.1000061,111.1377716
133.3000031,111.2411118
133.5,109.6818924
133.6999969,109.8146591
133.9000092,110.2398682
134.1000061,110.349205
134.3000031,110.2953796
134.5,109.5779648
134.6999969,110.32267
134.9000092,110.994812
135.1000061,110.687027
135.3000031,109.6073532
135.5,110.8640442
135.6999969,110.0940933
135.9000092,109.4980316
136.1000061,111.5832062
136.3000031,110.9702759
136.5,109.8143005
136.6999969,110.3548431
136.9000092,109.4956894
137.1000061,110.603981
137.3000031,109.9979858
137.5,111.1066666
137.6999969,109.8436203
137.9000092,111.6917114
138.1000061,110.358551
138.3000031,108.5814514
138.5,110.187294
138.6999969,111.0488892
138.9000092,110.7859573
139.1000061,111.5155029
139.3000031,110.7067566
139.5,110.2307205
139.6999969,110.9365692
139.9000092,111.7367783
140.1000061,110.8398209
