GDP + 10ul TBS,
Time (s),Intensity (a.u.)
79.5,81.28066254
79.70000458,80.84428406
79.90000153,79.92658234
80.09999847,80.41422272
80.30000305,80.74183655
80.5,80.68796539
80.70000458,80.42308044
80.90000153,80.13318634
81.09999847,80.35235596
81.30000305,80.60988617
81.5,80.39881134
81.70000458,81.07975769
81.90000153,81.60626984
82.09999847,80.54560089
82.30000305,80.24845123
82.5,80.80767059
82.70000458,80.00762939
82.90000153,79.93945313
83.09999847,80.82223511
83.30000305,81.04344177
83.5,81.03767395
83.70000458,80.20279694
83.90000153,80.58652496
84.09999847,80.88935089
84.30000305,81.05357361
84.5,81.53054047
84.70000458,81.20918274
84.90000153,80.82800293
85.09999847,80.93945313
85.30000305,80.21331787
85.5,81.37145233
85.70000458,80.51703644
85.90000153,81.65421295
86.09999847,82.03077698
86.30000305,81.35251617
86.5,80.56918335
86.70000458,81.53116608
86.90000153,81.1060791
87.09999847,80.97703552
87.30000305,81.51307678
87.5,81.09828186
87.70000458,81.37579346
87.90000153,80.68132019
88.09999847,80.8585434
88.30000305,80.91999054
88.5,81.34912872
88.70000458,80.99241638
88.90000153,81.14403534
89.09999847,81.39696503
89.30000305,80.15270996
89.5,81.82737732
89.70000458,80.27088928
89.90000153,81.41247559
90.09999847,81.21832275
90.30000305,81.33699799
90.5,81.20661163
90.70000458,81.53063202
90.90000153,81.69873047
91.09999847,80.5898819
91.30000305,80.8201828
91.5,81.76978302
91.70000458,81.7853775
91.90000153,81.81445313
92.09999847,81.13623047
92.30000305,81.73727417
92.5,81.47236633
92.70000458,80.50875854
92.90000153,80.17555237
93.09999847,80.72245026
93.30000305,80.98176575
93.5,81.45697021
93.70000458,81.70758057
93.90000153,80.80229187
94.09999847,80.47663116
94.30000305,81.86082458
94.5,81.38859558
94.70000458,80.7299118
94.90000153,81.07655334
95.09999847,81.30612183
95.30000305,81.24047089
95.5,80.53237915
95.70000458,81.57939148
95.90000153,81.59172821
96.09999847,80.80706787
96.30000305,81.50244904
96.5,80.00913239
96.70000458,81.39942932
96.90000153,80.86714935
97.09999847,81.2379837
97.30000305,81.27039337
97.5,82.12271118
97.70000458,81.57084656
97.90000153,81.11145782
98.09999847,81.14988708
98.30000305,80.35369873
98.5,80.12654877
98.70000458,81.27552032
98.90000153,80.68864441
99.09999847,80.35874176
99.30000305,80.49118042
99.5,81.09017944
99.70000458,82.10990906
99.90000153,80.89920807
100.0999985,76.51685333
100.3000031,80.12200928
100.5,86.96414185
100.7000046,94.78011322
100.9000015,94.55149841
101.0999985,97.0090332
101.3000031,98.58435059
101.5,100.1023178
101.7000046,100.7642746
101.9000015,100.192955
102.0999985,102.031456
102.3000031,102.89077
102.5,102.3116531
102.7000046,102.4668884
102.9000015,103.1421432
103.0999985,104.2104187
103.3000031,103.7403641
103.5,103.6572113
103.7000046,103.1275253
103.9000015,104.0908813
104.0999985,104.0416565
104.3000031,103.0201645
104.5,104.4182663
104.7000046,104.6491547
104.9000015,102.9342499
105.0999985,104.73069
105.3000031,104.9555206
105.5,105.1903
105.7000046,104.7699661
105.9000015,105.1490021
106.0999985,106.283638
106.3000031,104.490509
106.5,104.85112
106.7000046,106.4918213
106.9000015,105.48452
107.0999985,106.5354843
107.3000031,106.3170242
107.5,106.9238434
107.7000046,107.7735901
107.9000015,105.7565765
108.0999985,105.3182449
108.3000031,106.7292252
108.5,105.3894196
108.7000046,106.0870972
108.9000015,105.5531311
109.0999985,105.6756058
109.3000031,105.4402924
109.5,104.8875046
109.7000046,105.8248749
109.9000015,105.2382507
110.0999985,106.6229477
110.3000031,106.4526672
110.5,105.9559402
110.7000046,106.3834
110.9000015,106.2115936
111.0999985,107.0519562
111.3000031,107.3521423
111.5,106.9088669
111.7000046,106.8103485
111.9000015,107.1955719
112.0999985,105.9158173
112.3000031,107.9695206
112.5,107.0141449
112.7000046,107.741951
112.9000015,105.672699
113.0999985,106.2152863
113.3000031,106.7982941
113.5,106.4700089
113.7000046,107.3673706
113.9000015,105.2935181
114.0999985,106.6220551
114.3000031,108.0384369
114.5,105.4828568
114.7000046,108.0207291
114.9000015,107.0799255
115.0999985,106.5629959
115.3000031,106.6990891
115.5,106.1851349
115.7000046,106.9656982
115.9000015,105.8913193
116.0999985,106.6077347
116.3000031,106.6698837
116.5,106.7410583
116.7000046,107.1389008
116.9000015,107.756279
117.0999985,106.4078674
117.3000031,107.3514404
