Temp,HsUCP1 Standard,0.1uM NB65 + HsUCP1,0.5uM NB65 + HsUCP1,1uM NB65 + HsUCP1,5uM NB65 + HsUCP1,10uM NB65 + HsUCP1,HsUCP1 Standard,0.1uM NB65 + HsUCP1,0.5uM NB65 + HsUCP1,1uM NB65 + HsUCP1,5uM NB65 + HsUCP1,10uM NB65 + HsUCP1,HsUCP1 Standard,0.1uM NB65 + HsUCP1,0.5uM NB65 + HsUCP1,1uM NB65 + HsUCP1,5uM NB65 + HsUCP1,10uM NB65 + HsUCP1
65.5,-0.0954,-0.00455,-0.0167,0.0246,0.187912,0.678573,0.00262,-0.00182,-0.0027,0.189798,0.155068,0.624584,-0.0527,-0.14774,-0.0328,0.092822,-0.0554,0.470327
66.5,-0.11938,-0.0308,-0.0156,-0.00898,0.145215,0.678514,0.00339,0.00343,0.0057,0.225265,0.116939,0.657129,-0.05,-0.17484,-0.0297,0.0422,-0.0743,0.504036
67.5,-0.13146,-0.0508,-0.0111,-0.0359,0.123064,0.73998,0.0115,0.00862,0.0264,0.245216,0.120525,0.762585,-0.044,-0.19971,-0.0238,0.023055,-0.06742,0.598138
68.5,-0.12949,-0.0508,-0.0126,-0.0536,0.120169,0.79157,0.0207,0.0135,0.0408,0.245568,0.166607,0.950119,-0.0421,-0.22737,-0.0188,0.0483,-0.0503,0.74184
69.5,-0.12204,-0.0394,-0.0193,-0.0566,0.129797,0.833063,0.0277,0.0208,0.0454,0.25209,0.223515,1.22735,-0.037,-0.24893,-0.0264,0.11811,-0.0463,0.917822
70.5,-0.11652,-0.0364,-0.0206,-0.0453,0.153032,0.908044,0.0296,0.030383,0.0449,0.272636,0.258145,1.558414,-0.0261,-0.25385,-0.0339,0.208898,-0.0494,1.097229
71.5,-0.11811,-0.0424,-0.0135,-0.02769,0.187273,0.988489,0.0323,0.0366,0.0439,0.295149,0.266996,1.85731,-0.0186,-0.25816,-0.0242,0.274635,-0.031,1.275265
72.5,-0.12436,-0.0448,-0.00882,-0.0217,0.209498,1.007771,0.0397,0.0353,0.0457,0.292938,0.256816,2.010165,-0.0301,-0.26459,0.00116,0.281155,0.0132,1.431076
73.5,-0.12326,-0.04315,-0.00865,-0.03324,0.187129,0.941055,0.0503,0.0373,0.0527,0.247629,0.22723,1.937566,-0.0416,-0.24745,0.0166,0.221564,0.0312,1.475621
74.5,-0.11001,-0.0422,-0.00925,-0.0566,0.1249,0.786075,0.0598,0.0465,0.0636,0.159307,0.185823,1.612481,-0.0298,-0.20726,0.00646,0.127156,-0.0199,1.30241
75.5,-0.10433,-0.041,-0.0131,-0.0879,0.0504,0.544241,0.0687,0.0616,0.0702,0.0727,0.142829,1.079812,-0.0109,-0.19198,-0.00951,0.0497,-0.11307,0.871971
76.5,-0.10845,-0.042,-0.0343,-0.12377,-0.01756,0.223558,0.0801,0.0764,0.063373,0.029224,0.0977,0.476983,0.00127,-0.23783,-0.02055,-0.000161,-0.18115,0.315013
77.5,-0.10576,-0.0419,-0.0642,-0.15724,-0.0614,-0.12308,0.0902,0.0815,0.0537,0.0126,0.0467,0.00962,0.00677,-0.30084,-0.02,-0.046,-0.20666,-0.17809
78.5,-0.0905,-0.0386,-0.0702,-0.16998,-0.0846,-0.40843,0.0884,0.0818,0.0528,-0.00354,0.0099,-0.25557,0.0123,-0.31211,0.00412,-0.10047,-0.23048,-0.50715
79.5,-0.0774,-0.0298,-0.0574,-0.16521,-0.10481,-0.58653,0.0703,0.0757,0.0598,-0.0161,0.014,-0.41405,0.0218,-0.28691,0.048,-0.15618,-0.25998,-0.66538
80.5,-0.08847,-0.0177,-0.04714,-0.16122,-0.13353,-0.68009,0.0498,0.061549,0.0666,-0.016,0.0457,-0.5324,0.0254,-0.28406,0.0837,-0.19043,-0.27554,-0.7152
81.5,-0.12163,-0.0133,-0.0367,-0.17058,-0.15659,-0.76469,0.0426,0.0479,0.0698,-0.0059,0.0622,-0.61118,0.0114,-0.3151,0.088105,-0.19364,-0.26516,-0.72525
82.5,-0.16398,-0.0217,-0.01598,-0.18507,-0.158,-0.84284,0.0513,0.0516,0.0801,0.00561,0.0416,-0.60091,-0.0108,-0.33493,0.0759,-0.18655,-0.24982,-0.72787
83.5,-0.18826,-0.0385,0.00311,-0.19561,-0.16217,-0.87755,0.0593,0.06,0.100919,0.00408,0.0108,-0.56366,-0.0184,-0.32416,0.060387,-0.19364,-0.24746,-0.74603
84.5,-0.19365,-0.06034,0.00122,-0.20978,-0.18247,-0.88941,0.0468,0.048684,0.109083,-0.0199,-0.00356,-0.58359,-0.00387,-0.32227,0.0318,-0.20001,-0.23982,-0.74957
85.5,-0.19613,-0.076,-0.0108,-0.22493,-0.19491,-0.89931,0.0237,0.026868,0.0948,-0.0579,-0.00403,-0.63785,0.00526,-0.32942,-0.000308,-0.16826,-0.22055,-0.73408
86.5,-0.19343,-0.0735,-0.0153,-0.22475,-0.17655,-0.91563,0.00108,0.014491,0.0652,-0.0854,-0.00236,-0.68612,-0.0137,-0.32259,-0.00826,-0.11593,-0.22016,-0.74821
87.5,-0.19583,-0.0673,-0.0245,-0.20533,-0.15078,-0.90788,-0.0123,0.0143,0.0289,-0.0972,0.00691,-0.70707,-0.0331,-0.30922,0.00631,-0.0994,-0.2455,-0.77228
88.5,-0.20364,-0.06855,-0.0403,-0.19522,-0.14773,-0.88602,-0.00987,0.0103,0.0207,-0.11211,0.0227,-0.72148,-0.0302,-0.30125,0.0193,-0.12057,-0.26355,-0.79839
89.5,-0.21684,-0.0773,-0.0628,-0.19443,-0.1674,-0.85006,0.00838,0.00225,0.0408,-0.13023,0.0451,-0.72935,-0.00495,-0.2987,0.0306,-0.17947,-0.27432,-0.82653
